"yine";"spanish";"source"
"Gajipoyro nkamrutanu tye gogne.";"Hoy día voy a preparar patarashca.";"diccionario_virtual_yine"
"Kagonchi gajpoklu satu yayixachri.";"El brujo lo icara al enfermo.";"diccionario_virtual_yine"
"Topawa tajpoka mama.";"Mi mamá sopla su candela.";"diccionario_virtual_yine"
"Gakagaka wetamta gijrotgaya shimaganata.";"En la cashuera vimos a la garza puma pescando.";"diccionario_virtual_yine"
"Mgenoklu gakaglokanru kewni.mushkonuya.";"El tigre lo derrotó al perro.";"diccionario_virtual_yine"
"Mishito gakapgogotanru koshichni.";"El gato se abalanzó hacia el pajarito.";"diccionario_virtual_yine"
"Gakapla shimanepje nikachrini";"La garza ceniza se alimenta de peces.";"diccionario_virtual_yine"
"Ginaklu xako gakaprurugatanro kanawatsigi.";"El día que llueve se irán quebrada hacer revolcar la madera.";"diccionario_virtual_yine"
"Gakatsrekjetikowaka yenewatinwna gixo pokchi giynachinepa.";"Vendrán muchas comunidades a jugar en el estadio.";"diccionario_virtual_yine"
"Tganuri gakatsrekanro shapni.";"Su marido la pateó a mi tía.";"diccionario_virtual_yine"
"Rakaxikamta mishito.";"El gato dio un salto.";"diccionario_virtual_yine"
"Gakinkiwuro tuwlagata nunro , nepuro giranropa , tutuka tserulgetinripa.";"Mi mama hace hervir kion para que tome mi hermana que está con diarrea.";"diccionario_virtual_yine"
"Nakotgognenatlu nganuru.";"Todo el tiempo soporto a mi marido.";"diccionario_virtual_yine"
"Gita psoluko nakota.";"Yo soporto todo.";"diccionario_virtual_yine"
"Rujpagatka papkajere.";"Tus dientes caninos ya tienen caries.";"diccionario_virtual_yine"
"Nugletlu gakwarelayma.";"Decoro con acuarela.";"diccionario_virtual_yine"
"Galachacha wgene tpurata jiro.";"Mi abuela cría polluelo de espátula rosada.";"diccionario_virtual_yine"
"Nalgapjitana ga wa galgachingaprine gi rapokna.";"Se quemó mi casa y los bomberos no llegaron.";"diccionario_virtual_yine"
"Gixo polerone galnachine neta tegnogne yapachine.";"Vi una bandada de loros que volaban en el cielo.";"diccionario_virtual_yine"
"Gemgalu ralganna wannani.";"Se quemaron con el agua caliente.";"diccionario_virtual_yine"
"Wale galikaka kamrurewaklerni.";"Él en verdad es trabajador.";"diccionario_virtual_yine"
"Wanepotuko china gigkakleta nukojiru.";"Mi tío nos afirmó que dijeron eso.";"diccionario_virtual_yine"
"Nyegwaklo galixlo tshicho.";"Mi hermana cree en su hija.";"diccionario_virtual_yine"
"Pejnuruneko koshichine galnachinni.";"Todos los pájaros vuelan.";"diccionario_virtual_yine"
"Galu, koko.";"Hola, tío.";"diccionario_virtual_yine"
"Gi wa gamtakanru galuklewlu.";"No olviden saludar.";"diccionario_virtual_yine"
"Wale mkachrimka nalukni.";"Ese vestido quiero.";"diccionario_virtual_yine"
"Galuktaxani wale wane yanu.";"Quizás él vaya.";"diccionario_virtual_yine"
"Gamanru tajipoyita jiro.";"La abuelita prepara patarashca de huapeta.";"diccionario_virtual_yine"
"Ramanutanna mturunni yenewjerna.";"Los niños se cansaron de jugar.";"diccionario_virtual_yine"
"Niikaluru tameta nunro.";"Mi mamá calienta la comida.";"diccionario_virtual_yine"
"Gakatsrekachinni gamganatka.";"Los jugadores ya perdieron.";"diccionario_virtual_yine"
"Twamonuwatana nunro gamikne, girixanu tamtaka kanawatetana.";"La amiga de mi mamá está triste porque perdió su canoa.";"diccionario_virtual_yine"
"Tyekayi gamjirupni nkostapanu.";"Esta tarde me iré pescar paco.";"diccionario_virtual_yine"
"Posuru ramlupgata kewe.";"El perro huele la podredumbre.";"diccionario_virtual_yine"
"Posuru gijpangitutachri ramluta maylu.";"El gallinazo huele la carne podrida.";"diccionario_virtual_yine"
"Ginrochi gamlutlu toturu.";"La madre besa a su hijo.";"diccionario_virtual_yine"
"Nunru gamtaklewatana yawite.";"Mi papá se olvidó su llave.";"diccionario_virtual_yine"
"Yeye gamtakaklu chanixikolu.";"Mi hermano se olvidó la invitación que le hicieron.";"diccionario_virtual_yine"
"Ganikaji jixi gwachri nustaknanwa.";"Me corté el dedo medio del pie.";"diccionario_virtual_yine"
"Sato girapistonopa ganikaji mesa ganikajite gwachropni.";"La jarra con agua siempre va al centro de la mesa.";"diccionario_virtual_yine"
"Ganikaji myoji gwachri nkowjeta.";"Mi dedo medio se mueve.";"diccionario_virtual_yine"
"Teyakgawaka tanikgatya wala.";"Ella bogó (remó) en la correntada.";"diccionario_virtual_yine"
"Wale ganiklu pnumnu gixachri mkachri.";"Él está llevando diferente tipos de ropas.";"diccionario_virtual_yine"
"Nuru ganikanru niikaluru.";"Mi padre va a traer comida.";"diccionario_virtual_yine"
"Ganjigogneru magatyana satu yayixachrrini.";"Al enfermero le falta que le oren.";"diccionario_virtual_yine"
"Nikchi gitu goshgajeru psoji ranjitno nepuru.";"Mi hermano me pidió un poco de carne del monte.";"diccionario_virtual_yine"
"Wala ganjitlu gixo kajiruji.";"Ella compró muchas frutas.";"diccionario_virtual_yine"
"Mama gitaklo gixo ganna tusanateya.";"Mi mama siembra bastante piña en su chacra.";"diccionario_virtual_yine"
"Ragogata kshoteru.";"El venado está nadando.";"diccionario_virtual_yine"
"Sato ganona njirga.";"Cogí una anona madura.";"diccionario_virtual_yine"
"Wane chinnona nansatinripa tsru gogneklu.";"Me dijeron que danzaré el día de la fiesta.";"diccionario_virtual_yine"
"Nanuru klunerge pkamrutanu tujra simana, puxkakannimkano nusanateya.";"Cuñado, ¿qué harás esta semana? Quisiera que me vengas ayudar a limpiar a mi chacra.";"diccionario_virtual_yine"
"Rowe wane chinru ranuru yechikawa gosha gayanu.";"Don Rubén le dijo a su cuñado: mañana temprano nos vamos al monte a cazar.";"diccionario_virtual_yine"
"Gi pa ganxalenanuktana nomolene.";"Mis familiares son muy envidiosos.";"diccionario_virtual_yine"
"Papa mama towuta gapacharama yoxinripa gi rixanu kagli tkapchatanu wa jiro.";"Mi madre le manda a mi padre para que queme la apacharama, porque mi abuela necesita mezclar su arcilla.";"diccionario_virtual_yine"
"Gapakapno kshanate twapa mama nepuro tkatanrupa.";"Mi mamá se fue a traer la planta de sígueme sígueme para sus baños de mi hermanita.";"diccionario_virtual_yine"
"Jiro gakaklo gapashiro gaxawripapjiya.";"La abuela espantó del gallinero a una iguana verde.";"diccionario_virtual_yine"
"Tomolene tapatjeta nyegwaklo.";"Mi hermana reunió a su familia.";"diccionario_virtual_yine"
"Rukojiru gima rapatanata.";"Él calumnió a su tío.";"diccionario_virtual_yine"
"Gigapu ruknagyana nepurni";"Mi hermano se fracturó un hueso.";"diccionario_virtual_yine"
"Rosaklennatkalu mturu giyagni rapgajtatatka.";"El niño ya quiere dormir; por eso, está bostezando.";"diccionario_virtual_yine"
"Gapijrujgasure rura petro, pinityaplu mugle gopna rixinri.";"Pedro tomo infusión de hoja de achiote para curar su mal de hígado.";"diccionario_virtual_yine"
"Papayma yechikawa gosha nyanu gapijruji wjirgapanu.";"Mañana me iré con mi papá al monte, vamos a ir a cosechar la fruta de quinilla.";"diccionario_virtual_yine"
"Rapiklu repuru psotsotaaji niikanru.";"Él compartió un poco de comida a su hermanito.";"diccionario_virtual_yine"
"Prona gajene gapikna jiglokachine niikaluru.";"Los de la PRONA distribuirán alimentos con los niños.";"diccionario_virtual_yine"
"Wixa chinanu tsru gapkapkaklu rixa wale pokchi.";"Esa comunidad ha obtenido algo por nosotros.";"diccionario_virtual_yine"
"Xani galukaka netnawa napkapyaplu psoluko nkamrure.";"Hoy me siento capaz de terminar todo el trabajo a tiempo.";"diccionario_virtual_yine"
"Rapkapatkalu gimatkalchi satu makluji.";"El joven ha logrado terminar sus estudios.";"diccionario_virtual_yine"
"Posutaa rixa gaplireta.";"Su vómito olía feo.";"diccionario_virtual_yine"
"Gogikawa rapnanutatka yayixachri.";"El enfermo se acostó temprano.";"diccionario_virtual_yine"
"Papnanutanu pshinitsonu waneklu puknoga gixapnetanu";"Descansa para que se te pase el sueño.";"diccionario_virtual_yine"
"Rapnutanru yegwakluni yineru.";"El señor cutipó a su hermano.";"diccionario_virtual_yine"
"Gi wa kigleru gapnutewlu.";"No vale la venganza.";"diccionario_virtual_yine"
"Gapojchi gagka gi wa gonu wurini.";"Si no tomamos agua, los riñones se inflaman.";"diccionario_virtual_yine"
"Gixo yine gipteklu wa gapokikowaka yopjiwaklechi.";"Muchas personas llegaron al embarcadero.";"diccionario_virtual_yine"
"Wanna gapoklu jiro yegi.";"Ellos llegaron donde la abuela.";"diccionario_virtual_yine"
"Wale maklu gapokachri gita raponshinikampotuta.";"El joven que llegó confía mucho en mí.";"diccionario_virtual_yine"
"Papa kanawate gapri wani tumkata yapkotawa.";"La canoa de mi papá todavía es útil para viajar.";"diccionario_virtual_yine"
"Gapro tpurata jiro gajerya tumata yanumatatka.";"Mi abuela tiene un loro frente amarilla; recién está aprendiendo a hablar.";"diccionario_virtual_yine"
"Gapro parantate nustakapanu.";"Voy a cortar el plátano de loro.";"diccionario_virtual_yine"
"Gapro popniro tpirata Kamowa.";"Kamowa está criando un loro color cenizo.";"diccionario_virtual_yine"
"Gapro pwaljiwuro goglutna twugenene.";"El loro frente amarilla alimenta sus crías.";"diccionario_virtual_yine"
"Gapropi gashkatanru nurni gimyoji tapkakanru.";"A mi padre le mordió la serpiente loro machacuy en su dedo.";"diccionario_virtual_yine"
"Kachinyegi pixinipa wa pchinowatinimpatka, tsru gapxiiru pixanu.";"Cuando ya estás con dolor de parto tienes pujar con fuerza.";"diccionario_virtual_yine"
"Garawa nkatlo nshicho kapeno tixinripa.";"A mi hija siempre la baño con hoja de albahaca para que sea suertuda.";"diccionario_virtual_yine"
"Rosaura kamrutlo gixo gashgaji tushankanropa.";"Rosaura fabrica bastantes tinajas para vender.";"diccionario_virtual_yine"
"Gashiklujpa waneykoxna koshichene.";"Los pájaros también tienen cerebro.";"diccionario_virtual_yine"
"Koko chalutanro gashichshimni.";"M tío pescó puma zúngaro con tarrafa.";"diccionario_virtual_yine"
"Kewe gastkatanru mturni.";"Al niño le mordió el perro.";"diccionario_virtual_yine"
"Mturo gashigatlo pochwaksuru.";"La niña chupa la caña.";"diccionario_virtual_yine"
"Mturu chkokooji gipa gashyalenenru.";"Al bebé gordito le gusta sonreír.";"diccionario_virtual_yine"
"Jjipalu serojiru nutaka nusanate.";"En mi chacra siembro camote color rojo.";"diccionario_virtual_yine"
"Gasokaji jipalu nyapjetlu koyajpa gipa pochwananu rixlu.";"En la masa de masato mezclo el camote azúcar y está muy dulce.";"diccionario_virtual_yine"
"Pa gasrugkolutni kachiklewaka.";"Uno se acostumbra a vivir en el frío.";"diccionario_virtual_yine"
"Mturune rumatyapluna yantalu gasrukanna.";"Los niños para que puedan aprender contar, deben practicar.";"diccionario_virtual_yine"
"Galukta wane rixinipa kyowikolu psolmuchkonuko gasukanu.";"Si hay algún peligro, corre con fuerza.";"diccionario_virtual_yine"
"Gaxawripane gasukyali pakcha ma koshchekamtyapna.";"Las gallinas huyen del gavilán para que no las levante.";"diccionario_virtual_yine"
"Gowukaya tatagiwnata katagiru.";"La estrella brilla a lo lejos.";"diccionario_virtual_yine"
"Tapoka gatjir-tsoleta mariya.";"Llegó el bisabuelo de María.";"diccionario_virtual_yine"
"Gi wa galukalurutkanu gatjirchine giknokyapatka. Gajirchinepje gima yoptotanru wa genekashlukaka.";"No es necesario que los abuelos voten para las elecciones. Solamente las abuelas recibirán las donaciones.";"diccionario_virtual_yine"
"Gatsegluji nkatlo nshicho.";"A mi hijita la bañé con la planta de gatsegluji.";"diccionario_virtual_yine"
"Magkowa shegi raskota gosi.";"José subió en la rama del mango.";"diccionario_virtual_yine"
"Gawakayamtna wanna.";"Ellos están yendo río arriba.";"diccionario_virtual_yine"
"Tukanyamta.";"Estoy yendo por ahí.";"diccionario_virtual_yine"
"Gaxawripa takaka nepruro, serolnikta tnikanata.";"Mi hermanita espantó la gallina porque estaba picoteando el maduro.";"diccionario_virtual_yine"
"Poyagkakle rusuptaka wa gaxawripa gishanretachri.";"El pollero celebra su cumpleaños.";"diccionario_virtual_yine"
"Wala numwatsitanro gayegixanno.";"Mi vecina del costado me aborrece.";"diccionario_virtual_yine"
"Chkotni rugkapa goyechnokawa koko kashriya gaygitluruyma.";"En la mañanita, el tío cazó un mono con flecha.";"diccionario_virtual_yine"
"Rajijgapu yoshkityana noturni.";"Mi hijo se lisió la columna vertebral.";"diccionario_virtual_yine"
"Satu mshinikanutu mturu gayloklewata.";"El niño malvado miente.";"diccionario_virtual_yine"
"Mapa wtokanu yogna yinuwakyachrini ge.";"La ge es la tercera letra de nuestro alfabeto.";"diccionario_virtual_yine"
"Kapogalewatini yineru pshinotsogkaka gechgolu rixa.";"Cuando una persona está con la gripe, a cada rato estornuda.";"diccionario_virtual_yine"
"Kamgaklerone yine gekakgitanunru kamrurepna satu tsru gishanretikowakayapa.";"Las artesanas yines mostrarán sus productos en la feria.";"diccionario_virtual_yine"
"Yine kamrujetlu gashgajine rekakgityapluna yine kamrurkaka getkalurupa.";"Los yines elaboran tinajas para representar la artesanía yine.";"diccionario_virtual_yine"
"Giylakakachine gektutetkaka.";"Los pleitistas se insultaron.";"diccionario_virtual_yine"
"Mugletu nikchi gitu nenekna kewene.";"La carne mala se la di de comer a los perros.";"diccionario_virtual_yine"
"Sato makloji npinita gemeji twugenewatinripa.";"Estoy curando a una señorita estéril con planta para tener hijo.";"diccionario_virtual_yine"
"Shapa gitatkalo tshicho migatmenu gi wa twugenewatinripatka.";"Mi tía le da de tomar planta para no tener hijos a su hija.";"diccionario_virtual_yine"
"Gempotunanru gitskatga, wale chinanu gi numkata girgaletanawa.";"La sopa está muy caliente y no la puedo tomar rápido.";"diccionario_virtual_yine"
"Niikaluru nemetanu.";"Voy a calentar la comida.";"diccionario_virtual_yine"
"Poyagkakle chinanu genekshlu yoptota.";"Por ser su cumpleaños, recibió un regalo.";"diccionario_virtual_yine"
"Papa gima geneklu wa chalu rawapanru koko.";"Mi tío dijo que la tarrafa que llevó ya lo dio a papá.";"diccionario_virtual_yine"
"Mugletu pkamrutinni pumkata genshinikanreta.";"Si has hecho algo malo, tú puedes arrepentirte.";"diccionario_virtual_yine"
"Namga gepchitetana";"Se perdió mi hacha.";"diccionario_virtual_yine"
"Gepi jinriji nnika.";"Comí dos aguajes.";"diccionario_virtual_yine"
"Tye gogne poyagkaka walaputeta totu gepi chininri.";"Hoy es el cumpleaños del bisabuelo.";"diccionario_virtual_yine"
"Ruyolkapa gepi chininri gimekagyi.";"Su bisnieto fue a cazar.";"diccionario_virtual_yine"
"Gita gimatniro gepi chininro najirni.";"Yo conocí a mi bisabuela.";"diccionario_virtual_yine"
"Koko Rowe waneyatka gepi chininro gimekagyo.";"Mi tío Rubén ya tiene su bisnieta.";"diccionario_virtual_yine"
"Gepi mole walaputkalu npalikleru.";"Mi sobrino ya tiene veinte años.";"diccionario_virtual_yine"
"Gepkoxamkoje walaputkalo.";"Ya tiene cuatro años.";"diccionario_virtual_yine"
"Wa kajine gapokinru yine pokchi muchinangapka repomgakna wanna.";"Los mestizos cuando entran a una comunidad primero consultan con las autoridades.";"diccionario_virtual_yine"
"Noturu gepomgano nyagapgatapinri pirana.";"Mi hijo me preguntó sobre mi viaje.";"diccionario_virtual_yine"
"Numwatsitanune gepomsakaka.";"Mis vecinas están reclamándose.";"diccionario_virtual_yine"
"Ginamtachri gogne kiruxsure geprasurero gankanu.";"La siguiente clase traigan papel cometa.";"diccionario_virtual_yine"
"tye gogneNerkamkata.";"Hoy día me toca lavar mi ropa.";"diccionario_virtual_yine"
"Gerkikowakapji yegi numapanru numkalu kapcholu wane nerkajikinri.";"Llevaré mis ropas sucias a la lavandería para que me las laven.";"diccionario_virtual_yine"
"Sato gerotetlu nixanro nkirukate tsroshkikpotunanutkani.";"Tengo que renovar mi DNI porque está demasiado viejo.";"diccionario_virtual_yine"
"Gerotu gistrukachi jiglokinipa waneklu werotetanru kiruka pokchi poyagkakanrupa.";"El día que entra el nuevo jefe tenemos que reformular algunos reglamentos de la comunidad.";"diccionario_virtual_yine"
"Xanipotu gerotu chalu nkamrunata.";"Recién estoy haciendo una nueva tarrafa.";"diccionario_virtual_yine"
"Kanawate rerugata nukojiru.";"Mi tío desagua su canoa.";"diccionario_virtual_yine"
"perutanno.pixa";"Tú me empujaste.";"diccionario_virtual_yine"
"Mashkone wixayma getkakatka.";"Los mashcos se contactaron con nosotros.";"diccionario_virtual_yine"
"Tsru gaklu twajiwata getlo.";"En invierno los zapotes echan frutos.";"diccionario_virtual_yine"
"Papa getlo sagi gwapa.";"Mi papá trajo zapote.";"diccionario_virtual_yine"
"Mgenoklu getanru kewni ruylatanunmaklu.";"El tigre estaba mirando al perro para matarlo.";"diccionario_virtual_yine"
"Getpokowakatachri psoluyako getpiranatlu rekakgityapna kamrure pirana ruglepokota.";"El administrador hace una rendición de cuentas.";"diccionario_virtual_yine"
"Muchinanu getpokowakanru makluji gikta xani kiglerni waka gike.";"Primeramente, analicen si ese joven es bueno o malo.";"diccionario_virtual_yine"
"Nopji gapokachri makluji netpokowakata gige kigler- maklujni waka gike.";"El joven que llegó a mi casa me estoy fijando mucho de él si un buen joven.";"diccionario_virtual_yine"
"Serolga tkamruta mama getsokgapiyma.";"Mi madre bate el chapo con batidora de madera.";"diccionario_virtual_yine"
"Trsu kaprojirune pnuteyaka getsotanrewlu waneyna";"Los adinerados codician más de lo que ya tienen.";"diccionario_virtual_yine"
"Chiji yapachro retsotanuta wale makluji.";"Ese joven desea tener un carro.";"diccionario_virtual_yine"
"Pochwaksurujpa retumga koko gikta xani ralixawa.";"Mi tío ha degustado la masa de chancaca para ver si ya está buena.";"diccionario_virtual_yine"
"Satu girchi getumganru gimekanurni muchkonuya kayilyaplu shikolu gagmuna.";"Un padre de familia prueba las habilidades de su yerno mandándolo a cortar un árbol duro.";"diccionario_virtual_yine"
"Retwamonutlu yegwaklu.";"Se compadeció de su hermano.";"diccionario_virtual_yine"
"Gewinapoklu kapetgogne.";"Ayer llegué aquí.";"diccionario_virtual_yine"
"Gewichi nyanu, tsru.";"Hasta luego, señor.";"diccionario_virtual_yine"
"Jiro tuplatlo sato geychi.";"La abuela está sentada a una silla.";"diccionario_virtual_yine"
"Wale jeji geyikanro ganunroni, wale chinanu ruknokanro.";"Un hombre enfermo asquea su comida.";"diccionario_virtual_yine"
"Satu yayixachri geyiklu nujitu.";"Ese hombre despreció a su mujer; por eso, se separó de ella.";"diccionario_virtual_yine"
"Gepkoxamkoje wtokanu yogna yinuwakyachrini gi.";"La gi es la cuarta letra de nuestro alfabeto.";"diccionario_virtual_yine"
"Muchikawa girumatawakletka yayixlu wa kancer chigkaluru.";"Antiguamente se desconocía la enfermedad de cáncer.";"diccionario_virtual_yine"
"Giwa puchichpotunatanunro wa pshichni.";"No consientas mucho a tu hija.";"diccionario_virtual_yine"
"Ruchingaygita wa mturu.";"Le calmó el dolor de muela al niño.";"diccionario_virtual_yine"
"Kamrutluna gichkajetikowaka gruko.";"Están haciendo el baño.";"diccionario_virtual_yine"
"Ruchkata mturu.";"El niño ha defecado.";"diccionario_virtual_yine"
"Gickolni kajpomyolutu rumkata giylaletanyi.";"El chullachaqui te puede matar.";"diccionario_virtual_yine"
"Gickolni wa mgenoklu ruylalewata.";"El tigre es muy fuerte; hasta te deja muerto.";"diccionario_virtual_yine"
"Gichkogawaka ruskakyana chalni.";"En la correntada se rompió la tarrafa.";"diccionario_virtual_yine"
"Puchlipotutanru kshana.";"Tritura bien la yerba.";"diccionario_virtual_yine"
"Mama gisante wutkapanru gichlgapu jimeka.";"En la chacra de mi mamá vamos a sembrar yuca blanca.";"diccionario_virtual_yine"
"Jimeka gicholgapu nijganu nutaklepa.";"Buscaré estacas de yuca deformes para sembrar.";"diccionario_virtual_yine"
"Kapetgosge gichpoklunani, pejnuruneko getlu.";"Ayer hubo un eclipse; todos lo observaron.";"diccionario_virtual_yine"
"Gitlapa gajerni wa gichri.";"La atinga se encuentra en los canales.";"diccionario_virtual_yine"
"Mturu chiyagatachri gichrokako.";"Al niño llorón se le consuela.";"diccionario_virtual_yine"
