"yine";"spanish";"source";"suspect_reason"
"Rugita Geso. Wane chinna, ""Gajewa. Ginkakapanru Gwa gyijnakotanrukakaya ga wa getanrukakaya.";"Respondiendo Jesús, les dijo: ve, y hazle saber a Juan de lo que están viendo y oyendo:";"bible";"unbalanced_quotes"
"Yanananumtinna, Geso yinuwaka ginkakletna gixolune yine Gwapirana, ""¿Kluneru getapa yineru mwiyawakanuya? ¿Satu kapanrege kannipgyalu kowshikanrurge?";"Cuando se iban, Jesús, hablando de Juan, dijo a todo el pueblo: ¿Qué salieron a ver en el desierto ? un tallo alto moviéndose en el viento?";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""¿Giru pixka nutakanna nyi gimuweekakgognenatachine? Mturune pixka, giputu tuplanatachine, rupxalunna tomsanatachine.";"¿Pero qué comparación puedo hacer de esta generación? Es como niños sentados en los mercados, gritando unos a otros,";"bible";"unbalanced_quotes"
"Walegogne Geso wane china, ""Numalwutyi, Nuru, tengogne Gitsrukate ga wa chiji, tyepirankaka Pixa yogimatyana kgimatkalerune ga wa kanshinikanurune, ga wa mturune pekakgita.";"En aquel tiempo, Jesús respondió y dijo: Te alabo, oh Padre, Señor del cielo y de la tierra, porque has ocultado a los sabios y de los entendidos estas cosas, y las has manifestado a los niños pequeños.";"bible";"unbalanced_quotes"
"Wale wane chinna, ""¿Gi ge getyongapiranyegitlu Tawi kamrutanru? Wa nachichini wale ga wa waleymalune koxa.";"Pero él les dijo: ¿No saben lo que hizo David cuando tuvo necesidad de comer, y los que estaban con él?";"bible";"unbalanced_quotes"
"Geso wane chinna, ""¿Giru jeji wane gixa yegi, sato gowega waneyalutu? Walamka gijrukanu kapna gapnanutikalurgogneko. ¿Gi ge kashichanro ga wa koschekanro?";"Y él les dijo: ¿Quién de ustedes, teniendo una oveja, si se mete en un hoyo en sábado, no echará una mano y la recuperará?";"bible";"unbalanced_quotes"
"Geso gimatanshinikanutanna wanna. Wane chinna, ""Pejnuruko pogirewatikowaka wa wane gajene kotspalanshinikankakmaka wannakakluko, giknookalurupni pogirewatikowaka. Pejnuruko pokchikaka ga wa panchikaka wa wane gajene kotspalanshinikankakmaka wannakakluko, gi rumkata gwagognereta.";"Y conociendo sus pensamientos, les dijo: Todo reino que tiene división en sí mismo, será asolado, y toda ciudad o casa dividida en sí misma será destruida.";"bible";"unbalanced_quotes"
"Rugita Geso. Wane chinna, ""Gimuweekakgognenatachine muglene, kgimopataklerunni ragjitluna getkaluru, seyni getkaluru gi wa reneekona, seyni Gonasu tokanchi geneklewatachri getkalurutepje.";"Pero él, respondiendo, les dijo: Una generación mala y adúltera está buscando una señal; y no se le dará más señal que la del profeta Jonás:";"bible";"unbalanced_quotes"
"Romyokyegitna yimaklene. Wane china, ""Ga ga nyinwa nunro, ga wa nepurune.";"Y extendió su mano a sus discípulos, y dijo: Mira, mi madre y mis hermanos.";"bible";"unbalanced_quotes"
"Gi gepikapirana runkakna yapkakluya. Wane china, ""Wane rixa. Wa kgitaklewakleru gitaklewtapanu.";"Y les dio enseñanza en forma de historia, diciendo: Él sembrador salió a poner semilla en la tierra;";"bible";"unbalanced_quotes"
"Rugita Geso. Wane chinna, ""Gi rixanu wa gixa geneeka gimatyaplu giyogimanatkaluru tokanchi tengogne pogirewatyawakapirana, seyni wanna gi wa geneeka.";"Y les respondió: A ustedes se les ha dado a conocer los secretos del reino de los cielos, pero a ellos no se les ha dado.";"bible";"unbalanced_quotes"
"Satu yapkaklu runkakyana. Wane chinna, ""Tengogne pogirewatyawaka satu jeji pixka rixa, kiglejiru gitakachri rusanate.";"Y él les contó otra historia, diciendo: El reino de los cielos es semejante al hombre que puso buena semilla en su campo;";"bible";"unbalanced_quotes"
"Wale wane china, 'Gike. Wa goplipchetinri gma moplityakoxaplu triko.";"Pero él dice: No, no sea que, por casualidad, mientras arrancan la hierba mala, puedan arrancar el trigo con ellas.";"bible";"unbalanced_quotes"
"Getasha tseruwnaletanru gepiko, jirgakoklunpotunanuko. Jirgakoklunpatka, wane nchinanna wa jirgachinepa, ""Muchinangapka goplitanru triko pixkalutu kshana. Gostuptajetanru yoxikikolpatka. Ga wa triko gapatjetanu. Rumretikowakapji gitakanru."" ' """;"Que crezcan juntos hasta la siega del grano; y luego diré a los obreros: ""recogan primero la hierba mala, y ponganla en manojos para quemar; pero recojan el trigo en mi granero"".";"bible";"unbalanced_quotes"
"Satu yapkaklu runkakatnakna. Wane chinna, ""Tengogne pogirewatyawaka mostasaji pixka rixa. Satu jeji ganiklo. Rusanate rutaklo.";"Y les contó otra historia, diciendo: El reino de los cielos es semejante al grano de mostaza que un hombre tomó y puso en su campo;";"bible";"unbalanced_quotes"
"Rugita Geso. Wane china, ""Wa kiglejiru gitakachri walekno Gita Yineru Wgenno.";"Y él respondió y dijo: El que pone la buena semilla en la tierra es el Hijo del hombre;";"bible";"unbalanced_quotes"
"Gichijne yatka. Wanna ginkaklewawaklepji runkakjetyana. Wane rixa. Wanna giglajita. Wane chinna, ""¿Ginaka rawyalu tye gimatkalewlu ga wa tye giyaklukaka?";"Y entrando en su tierra, les dio enseñanza en su sinagoga, y se sorprendieron grandemente, y dijeron: ¿De dónde sacó este hombre esta sabiduría y estos milagros?";"bible";"unbalanced_quotes"
"Wale gigitna. Wane chinna, ""¿Klu chinanu koxa gixa giknoklu Goyakalu yokanatanru giykole chinanu?";"Y respondiendo él, les dijo: ¿Por qué, ustedes mismos, van contra la palabra de Dios a causa de la enseñanza que les ha sido transmitida?";"bible";"unbalanced_quotes"
"Ga wa gixa wane china, 'Girukokta wane chinru ruru ga wa runro, ""Nenekashle gixanupmaka Goyakalu nenekashatanutka, wa nenekashle gixa gipxakikolupmaka.""";"Pero tú dices: Si un hombre le dice a su padre o a su madre, a Dios le he dado algo con lo que pude haberte ayudado;";"bible";"unbalanced_quotes"
"Wane gixachri gi kagwakpiratanutkalu ruru, runro.' Wane gixa giknoklejetlu Goyakalu yokanatanru gixa giykole chinanu.";"No hay necesidad de que él le de honor a su padre y a su madre. Y has hecho la palabra de Dios sin efecto debido a tus enseñanzas.";"bible";"unbalanced_quotes"
"Tomgana gixolune yine. Wane chinna, ""Gyijnakotanu. Gimata jemanu.";"Y juntó al pueblo, y les dijo:Escuchen, y sean claras mis palabras:";"bible";"unbalanced_quotes"
"Seyni rugitna. Wane chinna, ""Pejnuruko gitaakaluru ma mutakanutu Nuru tengogne Gajeru goplitkalurupni.";"Pero él respondió: Toda planta que no plantó mi Padre que está en los cielos, será desarraigada.";"bible";"unbalanced_quotes"
"Geso wane china, ""¿Wane koxa gixge gixa mumatjemkangi?";"Y él dijo: ¿Eres tú, como ellos, aún sin sabiduría?";"bible";"unbalanced_quotes"
"Seyni Wale gigitna. Wane chinna, ""Wa kayi rixinitka, wane nchina gixa, 'Kiglegogneru gi rixanu gasergogneru.'";"Pero en respuesta, él les dijo: Al anochecer dices: El clima será bueno, porque el cielo está rojo.";"bible";"unbalanced_quotes"
"Gimuweekakgognenatachine muglengi, kgimopatakleruneko gagjitlu getkaluru, seyni getkaluru gi wa rekakgitkona seyni Gonasu tokanchi geneklewatchri getikalurutepje."" Ruknokamtna. Yatka Geso.";"Una generación mala y adúltera está buscando una señal; y no se le dará ninguna señal sino la señal de Jonás. Y él se alejó de ellos.";"bible";"unbalanced_quotes"
"Geso gimata. Wane china, ""¿Klu chinanu gixnanuko gishinikanuwata wa jimapro gma manikiniti chinanu? Psotsotaaji galixachingi.";"Y mirándolos Jesús, dijo: Oh, hombres de poca fe, ¿por qué razonan entre ustedes, porque no tienen pan?";"bible";"unbalanced_quotes"
"Giyagni rugita Geso. Wane chinru, ""Giglenshinikanyegitkaluryi Simo, Gonasu wgenyi, gi rixanu gi wa kamaneru, gi wa kagragalu gekakgityi, seyni wa Nuru tengogne Gajeru gekakgityi.";"Entonces Jesús, respondiendo, le dijo: Simón, hijo de Jonás, bendecido eres, porque esta revelación no ha venido a ti de carne y sangre, sino de mi Padre que está en los cielos.";"bible";"unbalanced_quotes"
"Giyagni Geso wane chinna yimaklene, ""Katukokta galuka gwa gajxigletno raalixinwa walenanuko. Rawanro koroshishkitate. Romkagitanno.";"Entonces Jesús dijo a sus discípulos: Si alguno quiere venir en pos de mí, niéguese a sí mismo, y tome su cruz, y venga en pos de mí.";"bible";"unbalanced_quotes"
"Rugita Geso. Wane chinna, ""Giliya galikakni rungapkatanu rugletyaplu ptowruko.";"Y en respuesta dijo: Elías verdaderamente tiene que venir y arreglar todas las cosas.";"bible";"unbalanced_quotes"
"Wane china, ""Gitsrukaachi, petwamonutanru noturni. Gi rixanu popukalerunni. Yayixachrinni. Gixo kata xirnachri yana. Gixo kata gonu yana.";"Señor, ten piedad de mi hijo, porque está loco y tiene un gran dolor. y con frecuencia cae al fuego y con frecuencia al agua.";"bible";"unbalanced_quotes"
"Geso wane chinna, ""Gi rixanu psotsotaji galixa. Gi rixanu galikaka wane nchingi, waneygi gixkamka galixle mostasajipso pixka, wane nchinanru tye magka, 'Wane pushpakinitka. Pnu pyanutka.' Ga wa pnumka yanu. Gikenapmakni gma mumkatanutupmaka.";"Y él les dice: Por su poca fe; porque en verdad les digo que si tienen fe como un grano de mostaza, dirán a este monte: muévete de este lugar a ese; y será movido; y nada será imposible para ustedes.";"bible";"unbalanced_quotes"
"Kalile rapatanatinna, Geso wane chinna, ""Samyookalurupno Gita wa Yineru Wgenno, yine kashichyapno.";"Y mientras andaban por Galilea, Jesús les dijo: El Hijo del hombre será entregado en manos de hombres;";"bible";"unbalanced_quotes"
"Ruylatannona. Mapgogne rixinri nyotunkaako."" Wanna wamonuwnapotutanna.";"Y le matarán, y al tercer día resucitara de entre los muertos. Y estaban muy tristes.";"bible";"unbalanced_quotes"
"Petro wane china, ""Pnu gajeneyegiya."" Geso wane chinru, ""Giyagni gimolene gishpaka.";"Y cuando dijo: De los hombres, Jesús le dijo: Entonces los hijos son libres.";"bible";"unbalanced_quotes"
"Wane china, ""Galikaka wane nchingi, gma kashrijetkoklunupa, mturune pixka gma mixkanupa, gi gapokanuna tengogne pogirewatyawaka.";"Y dijo: En verdad, les digo, si no tienen un cambio de corazón y se vuelven como niños pequeños, no entrarán en el reino de los cielos.";"bible";"unbalanced_quotes"
"Geso wane chinru, ""Gi wane nchinyi wa payokgipre katpotunanuko, seyni payokgipremole payokgipre.";"Jesús le dice: No te digo, hasta siete veces; pero, hasta setenta veces siete.";"bible";"unbalanced_quotes"
"Giyagni repuklu rutsrukate. Wane chinru, 'Mugletu wayegrechriyi. Pejnuruko wa tye priwishkate nkaspukyegityi gi rixanu pagjitno.";"Entonces su señor envió a buscarlo, y dijo: ¡Siervo malo! Te perdone de toda esa deuda, por que me lo rogaste.";"bible";"unbalanced_quotes"
"¿Gi ge pumkatkoxlu pixa petwamonutyalu pixje wayegrechri, wa gita pixka wane nixa getwamonretyi pixa?'";"¿No era correcto que tuvieras misericordia con el otro siervo, así como yo tuve misericordia de ti?";"bible";"unbalanced_quotes"
"Wale gigita. Wane china, ""¿Gi ge getyongatlu wa kgiyaklewakleru, yinuwakyawakpotunanuko jeji, suxo kamrutna?";"Y Jesús dijo: ¿No has leído en las Escrituras que el que los hizo primero los hizo hombres y mujeres?";"bible";"unbalanced_quotes"
"Wane chinna, ""Wa nshiknu gaji chinanu Moysisi gichichgi giknokagnunrotinripa. Seyni wa yinuwakyawakpotunanuko gi wane rixa.";"Y Él les dijo : Moisés, a causa de tus duros corazones,les permitió repudiar a sus mujeres; pero no ha sido así desde el principio.";"bible";"unbalanced_quotes"
"Giyagni Wale wane chinna, ""Gi wa pejnuruneko gimkata yoptoletlu tye tokanchi, seyni wannapje wa geneekalunepje.";"Pero él les dijo: No todos pueden recibir esta palabra, sino sólo aquellos a quienes se les da.";"bible";"unbalanced_quotes"
"Wane chinru, ""¿Girni?"" Geso wane chinru, ""Gi puylalewatanu. Gi pumopatlewatanu. Gi pchowguwatanu. Gi maleshawaka pupgujtalewashatanu.";"Él le dice: ¿Cuál? Y Jesús dijo: No mates a nadie, no adulteres, no tomes lo que no es tuyo, no des falso testimonio,";"bible";"unbalanced_quotes"
"Giyagni Geso wane chinna yimaklene, ""Galikaka wane nchingi, wa ponikolu kyaprepotlu tengogne pogirewatyawaka rapokinripa.";"Y Jesús dijo a sus discípulos: De cierto os digo que es difícil para un hombre con mucho dinero entrar en el reino de los cielos.";"bible";"unbalanced_quotes"
"Geso wane chinna, ""Galikaka wane nchina, wa ptowruko gerotewatinipa, wa noyaknu ntuplapijere ntuplatini Gita Yineru Wgenno, waneklu gixa koxa wa nomkagitjengi pamole gepi tuplapije, pguru tuplapijerkaka, ntuplatanu. Pamole gepinerune Gisrayiline gitakyagokanu gixa.";"Y Jesús les dijo: De cierto les digo que en el tiempo en que todas las cosas sean renovadas, y el Hijo del Hombre esté sentado en su gloria, y ustedes que me han seguido, que han venido después de mí se sentarán en doce asientos, juzgando a las doce tribus de Israel.";"bible";"unbalanced_quotes"
"Wa wale gigita. Wane chinru satu wannate, 'Nomole, gi wa mpoyagkaakotu nixyi. ¿Gi ge pupiratyano pamoleproji chinanu?";"Pero él, en respuesta, dijo a uno de ellos: Amigo, no te hago ninguna injusticia. ¿No hiciste un acuerdo conmigo por un centavo?";"bible";"unbalanced_quotes"
"¿Gi ge munanshichkotni wa nkamrutanru wa nalukyawaka gita wa gitanuya? ¿Waka ksotanuygalegolyi gi rixanu kiglerno gita?'";"¿No tengo el derecho de hacer lo que me parece bien con lo mío en mi casa? ¿O tienes envidia, porque soy bueno?";"bible";"unbalanced_quotes"
"Geso tomgana. Wane chinna Wale, ""Gimata wa tsrukakalune payineko yegi towutlewpotutna. Wanna gitsrukatene tsru gitaaka wanna chinanu.";"Pero Jesús les dijo: saben que los gobernantes de las naciones se enseñorean de ellas, y los que son grandes entre ellos ejercen potestad.";"bible";"unbalanced_quotes"
"Wale wane chinna, ""Tujra pokchi wunaple gyanu. Wane gikshikinro mporo kwugenero tsatkaluro, twugeneyma. Gkoshpirokanro. Ganikyegitanno.";"Diciéndoles: vayan al pequeño pueblo de delante de ustedes, y de inmediato verán una asna con su pollino con una cuerda alrededor de su cuello, sueltalos y ven con ellos a mí.";"bible";"unbalanced_quotes"
"Rugita Geso. Wane chinna, ""Galikakni wane nchingi, wa kalixlegi gixinipa, gi wa gnutanshinikanutini, gi wa tyepjeni wa gikerapirana wane gixanu, seyni koxa wa tye magka wane nchininiplu gixa, 'Puxrikanu. Tsru wenu puknokinwa,' wane rixanu.";"Y Jesús, respondiendo, les dijo: De cierto os digo, que si creen, sin dudar, no solo harán lo que se ha hecho a la higuera, sino que le dirán a este monte quítate y échate en el mar, se hará.";"bible";"unbalanced_quotes"
"Giyagni Geso gigitna. Wane chinna, ""Gita koxa gepomgangi satu tokanchiya. Wa ginkakinipno Gita koxa ginkakangi klu nutakika tyekaka nkamrutinri.";"Y Jesús les dijo en respuesta: Les haré una pregunta, y si me dan la respuesta, les diré con qué autoridad hago estas cosas.";"bible";"unbalanced_quotes"
"""¿Giru wa nyi gepi ruru gishinikanru kamruta?"" Wanna wane china, ""Tsru gituru."" Geso wane chinna, ""Galikakni wane nchingi wa gijgawenutachinni, kapoklewaklerone gixa pnute jiglokanna Goyakalu pogirewatyawaka.";"¿Cuál de los dos hizo el placer de su padre? Ellos dicen: el primero. Jesús les dijo: De cierto les digo, que los publicanos y las prostitutas irán al reino de Dios delante de ustedes.";"bible";"unbalanced_quotes"
"Geso wane chinna, ""¿Gi ge pagogne getyongatlu wa Tokanchi Yonatkaluruya? Wa sotlu myoptotkotu kamrupjitachineya Wale gitaaka yoptowaka gitsejita. Gitsrukaachi chinanu kamrutka wa tye. Rakaglajiygaletwu.";"Jesús les dice: ¿Nunca leyeron en los Escrituras, la piedra que desecharon los constructores, a sido hecha la piedra principal del edificio; esto fue obra del Señor, y es una maravilla para nuestros ojos?";"bible";"unbalanced_quotes"
"""Rumepe yokanretatnakna pimrine wayegrene. Wane china, 'Ginkakapanna chanixkalune, ""¡Getanru xani! Ralixatka nnijitu nwakate jejine ga wa nuxowaakakanune giylatkalunetka. Pejnuruko galpokotkalurutkani. Ginanu kashimyolu yegi."" '";"Otra vez envió otros siervos, con órdenes de decir a los invitados: He aquí, preparé mi festín; mis bueyes y mis animales gordos han sido muertos, y todas las cosas están listas; vengan a la fiesta.";"bible";"unbalanced_quotes"
"Giyagni wane chinna wayegrene, 'Wa kashimyolu galikaka galpokotkalurni, seyni wa chanixkalune gi wa rumuklunina.";"Entonces dijo a sus siervos: La fiesta está lista, pero los invitados no fueron dignos.";"bible";"unbalanced_quotes"
"Giyagni gajewa. Rutspalgapotyawaka gyanu. Nchanixanna ginnakokta gikshikanune, kashimyolu yegi yinripna.'";"Vayan a las calles principales, y haz que todos los que veas vengan a la fiesta de la novia.";"bible";"unbalanced_quotes"
"Wane chinru, 'Nomole, ¿gi pixpoko jigloklemta gewi wa kashimyolu getachrimkalu mutaakatyi?' ""Seyni wale pochke.";"Y le dice: Amigo, ¿cómo entraste aquí sin traje de boda? Y él no tenía nada que decir.";"bible";"unbalanced_quotes"
"Yimaklenna yokanyegitluna Giroreyoneyma. Wane chinna, ""Yimaklewatachri, wumatyi Pixni mayrokletu. Galikaka potu punkaklewata Goyakalu gatnugapotepirana. Gike pkagwakpirata, gi rixanu gi putakyagokna jejine.";"Y le enviaron sus discípulos, con los herodianos, diciendo: Maestro, vemos que eres amante de la verdad, y que estás enseñando el verdadero camino de Dios, y que no le temes a nadie, porque no juzgas a los hombres por su apariencia.";"bible";"unbalanced_quotes"
"Seyni Geso gimatlu wanna muglenu. Wane china, ""Sanowashatachingi, ¿klu chinanu gimlukanutno?";"Pero Jesús vio su truco y dijo: Oh, hipócritas, ¿por qué tratan de ponerme en el error?";"bible";"unbalanced_quotes"
"Gekakgitanno wa sroschiproji Susa wenutikolupa."" Ranikyegitluna paproji.";"Déjame ver el dinero de los impuestos. Y ellos le dieron un centavo.";"bible";"unbalanced_quotes"
"Wane chinna, ""Yimaklewatachri, Moysisi wane china: Mwugenetniko gipninina satu, wa repuru gwanro wale gnunronanni, ruxolewnakakinripa giklopishapa yegwakluni chinanupa.";"Maestro, Moisés dijo: Si un hombre, en el momento de su muerte no tiene hijos, deje que su hermano se lleve a su esposa y darle una familia para su hermano;";"bible";"unbalanced_quotes"
"Giyagni rugita Geso. Wane chinna, ""Gixa pupjeta gi rixanu gi gimatlu wa tokanchi yonatkaluru gi wa Goyakalu giyaklewleko.";"Pero Jesús les dijo a ellos en respuesta: Están en error, no teniendo conocimiento de las Escrituras, o del poder de Dios.";"bible";"unbalanced_quotes"
"Rugitlu. Wane chinru, ""Pushinikanru Gitsrukaachi Poyakalute psolpotuyako pajiya, psolpotuyako punshinikanuya, psolpotuyako pushinikanutletanruya.";"Y le dijo: Amarás al Señor tu Dios con todo tu corazón, y con toda tu alma, y con toda tu mente.";"bible";"unbalanced_quotes"
"Wane chinna Wale, ""Giyagni ¿gi rixa Tawi wa Giwekikaluruya wane chinru Gitsrukaachi? Wane china:";"Les dice: ¿Cómo, pues, David en el Espíritu le puso el nombre de Señor, diciendo:";"bible";"unbalanced_quotes"
"Wane chinna, ""Moysisi tuplapijere tuplatna yonchikgapine ga wa Gwariseyone.";"Los escribas y los fariseos tienen la autoridad de Moisés;";"bible";"unbalanced_quotes"
"Rugita Geso. Wane chinna, ""Xako gi satunako yokwitangi.";"Y Jesús les dijo en respuesta: Cuídense de no ser engañados.";"bible";"unbalanced_quotes"
"Rapoka koxa gepimole waragkaproji yoptotachri. Wane china, 'Gitsrukaachi, numatyi jeji shiko gajiryi. Pma mutaklewatyawakanu pjirgiya. Pma muknokajityawakanu papatjetya.";"Y vino el que tenía un solo talento, y dijo: Señor, sabía que eres un hombre duro,y que siegas donde no sembraste, y recoges donde no esparciste.";"bible";"unbalanced_quotes"
"Npika. Nalimta. Nyogimatlo pserojiprojite chiji gitokote, wa gepmole waragkaproji. Waneyyi wa pixanu.'";"Y yo tuve miedo, y fui, y puse tu talento en la tierra: aquí está lo que es tuyo.";"bible";"unbalanced_quotes"
"Rugita rutsrukate. Wane chinru, 'Wayegrechri mugletyi ga wa ma mernuwatachriyi. ¿Pumatmakge wa nma mutaklewatyawakanu njirgiya, nma muknokajityawakanu napatjetya?";"Pero su señor en respuesta le dijo: Eres un siervo malo y perezoso; si sabías que siego donde no sembré y que recojo donde no esparcí.";"bible";"unbalanced_quotes"
"Giyagni pumkata gitakletlo nserojiprojite kgipekoklerune yegi, wa napokini nyoptotanmaklo gitanuko ga wa gixolewnachroymananuko.'";"¿Por qué no pusiste mi dinero en el banco y, a al volver yo, hubiera recibido lo que es mío con intereses?";"bible";"unbalanced_quotes"
"'Giyagni gkonanro waleya gepimole waragkaproji. Wa satu pacha waragkaproji waneyalutu genekanro.";"Quita, pues, su talento y dáselo a quien tiene los diez talentos.";"bible";"unbalanced_quotes"
"Ga wa wayegrechri gike gapri migje maleka mapshagawaka giknokanru. Waneplu chiyaglu ga wa gashkaygitlu.'";"Y al siervo inútil echar en las tinieblas de fuera: allí será el llanto y crujir de dientes.";"bible";"unbalanced_quotes"
